name,capital,manager,is_national,phone_number,email,is_import_export,is_transport,is_real_estate,is_agrobusiness,is_restoration,is_investment,is_general_commerce,is_BTP
 genus services corporation  (g.s.c) sarl  u ,1000000,MADEMOISELLE MOUANGA IDA ANNICK,True,+22822517976,-,True,True,False,False,False,False,True,False
 eniam btp sarl ,5000000,MONSIEUR NIKIEMA MOHAMADOU,True,+22892474870,-,True,True,True,False,False,False,True,True
home in togo.,2000000,MONSIEUR HOFSCHULZ JÖRN EST,True,+22890069348,-,False,False,True,False,False,False,False,False
 societe d'investissement du golfe de guinee (sigg)  s.a.u,10000000,MONSIEUR ZHU YUJIE,True,+22897780760,-,True,False,True,False,True,True,True,True
" ivoire glory consulting-togo, en abrégé  i.g.c-togo sarl.",1000000,MONSIEUR MENSAH ROBERT,True,+22890069348,-,False,True,True,False,False,False,False,False
 african business security en abrégé  abs .,2000000,MONSIEUR AGBODJALOU KODJO MAWULÉ,True,+22890069348,-,True,False,True,False,False,False,False,False
 help’ us .,1000000,MONSIEUR LAOTAKO KPABEBA,True,+22890069348,-,False,False,False,False,False,False,True,False
"africaine de services d’investissement et de participation , par abréviation",1000000,MONSIEUR MICHAUT PIERRE ANDRÉ,True,+22890069348,-,False,False,True,False,False,True,False,False
fafa hospital sa/swiss clinic.,10000000,-,True,+22890069348,-,False,False,True,False,False,False,False,False
 top tex enterprise,3000000,MONSIEUR DEKPOH AKOLLI A,True,+22890069348,-,True,False,False,False,False,False,True,False
 la paume de dieu  sarl-u.,1000000,MADAME DOUTI LADY,True,+22822479309,-,True,False,False,False,False,False,True,False
" ocean trading company enterprises, en abrégé  otc enterprises .",1000000,MONSIEUR RAMNANI PARMANAND,True,+22890069348,-,True,False,True,False,False,False,True,False
 pure way limited  sarl-u.,3000000,MONSIEUR KHANNA SAPAN KUMAR,True,+22890069348,-,True,False,True,False,False,False,False,False
" togo maritime security agency  sarl, en abrégé  tmsa sarl .",1000000,MONSIEUR MAKILIPÉ KODJO TCHANGANI,True,+22890069348,-,False,False,False,False,False,False,False,False
